zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,med_age_change,perc_white_change,perc_hs_grad_change,perc_employed_change
60202,2013,68321,296400,1090,0.643621144,38.1,0.909105397,0.101709893,-0.051439758,-0.262686567,0.134235172,-0.020565553,-0.036120663,0.034895045,-0.01692395
60411,2013,41537,111400,902,0.362355061,32.5,0.80282104,0.289385762,-0.537480792,-0.689000558,-0.090725806,-0.131016043,-0.340234892,0.212705643,-0.123134533
60422,2013,98140,250200,1240,0.443654935,46.8,0.929658214,0.119398258,1.186427839,0.458892128,0.383928571,0.602739726,-0.034491564,-0.105012576,0.020567305
60425,2013,55139,140700,960,0.266777778,38.4,0.813144908,0.191778495,-0.502862604,-0.599031063,-0.480800433,-0.032745592,-0.459217966,0.02835437,-0.121497652
60456,2013,49667,129500,438,0.964187328,38.5,0.90380411,0.342866535,-0.285006838,-0.581041734,-0.58950328,0.015831135,0.313394656,0.236688929,-0.011115415
60473,2013,64362,160100,1460,0.209935398,41.2,0.833363342,0.241493886,0.463338108,0.305872757,0.563169165,0.312101911,-0.171472832,-0.054559516,0.022207277
60476,2013,50036,121800,735,0.81529785,39.9,0.83388926,0.456723716,-0.038268591,-0.324833703,-0.158075601,0.130311615,0.059540911,0.158097251,-0.035594455
60477,2013,69734,213900,987,0.860449874,38.6,0.91283604,0.26729361,0.191280728,0.113482561,0.182035928,0.112391931,0.203605682,-0.025702303,7.41E-05
60523,2013,96591,664200,663,0.751578733,56.9,0.943804373,0.170756646,0.506245419,1.780242779,-0.452970297,0.78369906,0.177209706,0.049688191,0.004236555
60604,2013,132188,528100,1745,0.81686747,54,0.929054054,0.034574468,1.648208991,1.992067989,1.043325527,0.475409836,-0.043021286,-0.264958753,0.03939973
60612,2013,35318,254200,924,0.270498169,30.6,0.840947845,0.19675666,-0.619134917,-0.319957196,0.037037037,-0.262650602,-0.667627678,-0.024029413,-0.061842925
60613,2013,66697,308400,1132,0.834484012,31.5,0.935491783,0.081786543,0.320131425,0.612127548,0.310185185,-0.173228346,-0.006778035,-0.258257556,0.056867705
60617,2013,38845,139300,811,0.336177863,36.1,0.798873849,0.247733797,-0.107995775,0.104678826,-0.024067389,0.002777778,-0.331272316,-0.060466015,-0.081723166
60618,2013,55577,336300,998,0.778746163,32.9,0.912018853,0.200714711,-0.091359438,0.197649573,-0.023483366,-0.134210526,-0.098790752,-0.017248049,-0.009380564
60624,2013,22786,172200,898,0.025659955,27.9,0.749368088,0.338265306,-0.614286923,-0.300284437,-0.15917603,-0.225,-0.687910804,0.082914223,-0.16895332
60626,2013,38734,210100,860,0.562327412,33,0.901821487,0.154032235,-0.133293057,-0.017765311,-0.002320186,0.089108911,0.037155244,-0.152691869,0.030994778
60630,2013,58086,271800,990,0.730349307,38.1,0.880753987,0.247978037,-0.55348687,-0.577688005,-0.371029225,-0.124137931,-0.116132569,0.196713319,-0.073321148
60632,2013,38545,177800,822,0.614023887,29.3,0.838077386,0.280539828,-0.067767915,0.452614379,-0.059496568,-0.186111111,0.381487023,0.012788918,0.033049304
60645,2013,48918,251400,985,0.570716006,35,0.902726174,0.18067213,0.673268343,1.651898734,0.083608361,0.097178683,0.44655731,-0.142354623,0.172840153
60653,2013,24968,242400,701,0.052756868,35.6,0.749447361,0.187195826,-0.749929891,-0.066255778,-0.394122731,-0.196388262,-0.400999053,0.091351322,-0.175224373
60521,2013,158947,785900,1533,0.888674972,41.7,0.925891799,0.085755946,1.781614224,4.123207301,0.536072144,0.094488189,0.625210474,-0.109378367,0.093474776
60525,2013,74573,336500,981,0.909690931,43.1,0.917180502,0.196974574,0.51898399,1.366385373,1.44638404,0.0775,-0.056484863,-0.138952355,0.025084588
60409,2013,40359,111400,910,0.237218429,35.8,0.790073668,0.257423219,-0.369370918,-0.341218214,-0.391304348,-0.116049383,0.032445458,0.022335974,-0.053594296
60426,2013,26080,84500,877,0.107041755,33.2,0.723946882,0.333255841,-0.492360097,-0.355945122,0.098997494,-0.235023041,-0.72382734,-0.096244159,-0.117269334
60452,2013,71526,204100,944,0.875925399,37.2,0.886118513,0.2993023,0.022019004,-0.080216314,-0.027806385,-0.03125,0.005280068,0.025586333,-0.021036552
60453,2013,57381,201700,980,0.869112988,41.3,0.886794988,0.284972664,-0.396358013,-0.709992811,0.53125,-0.276707531,0.142900398,0.116030684,-0.062997846
60654,2013,90645,404100,1815,0.785583884,32.8,0.921848216,0.044295401,-0.144729393,-0.162660588,0.021959459,-0.376425856,-0.034509574,-0.012259869,0.048430494
60657,2013,75885,392500,1208,0.86983022,30.5,0.954289967,0.046197118,1.160734624,0.424682396,0.32166302,0.00660066,0.61224254,-0.151796131,0.09859621
60659,2013,49581,281000,991,0.517361374,35.1,0.893842142,0.156561694,-0.238597623,-0.114123581,-0.105595668,0.10031348,-0.301504096,0.081131065,-0.047242437
60707,2013,55554,231200,892,0.730801648,39.1,0.878702694,0.292224122,0.430808458,0.543391188,0.090464548,0.095238095,0.396667203,0.0414064,0.048747552
60714,2013,46725,274500,997,0.759091362,48.2,0.919070627,0.280593272,-0.179327303,-0.227195946,0.010131712,0.483076923,0.03500548,0.085372312,0.001907193
60804,2013,44177,157200,840,0.415506532,28.2,0.856189074,0.315534812,0.962462796,-0.19343253,-0.069767442,0.032967033,0.393652631,-0.00566515,0.101068031
60056,2013,68710,294000,970,0.743683804,39.3,0.92436256,0.222084719,0.805497162,0.324921136,0.147928994,0.205521472,0.20773672,0.078037826,0.010325491
60193,2013,72939,257100,1199,0.772860617,42.1,0.92124074,0.225411378,0.288902633,-0.103243809,0.245067497,0.107894737,0.040551141,-0.017864968,0.038198322
60464,2013,76371,377300,1838,0.927165963,54.2,0.890552742,0.217176439,0.930803459,0.896933132,1.246943765,0.901754386,0.30013513,-0.049394052,0.04992825
60415,2013,50336,158400,871,0.826640548,33.9,0.886603175,0.27534289,0.04498744,-0.386522076,-0.115736041,-0.039660057,0.259813657,0.103002898,-0.031519046
60439,2013,92089,362500,1013,0.941148552,41.7,0.898365913,0.215794898,2.609634682,0.395841355,0.468115942,0.21574344,0.893115149,0.027617509,0.129255361
60455,2013,52298,173500,900,0.849415652,38,0.870121876,0.31631584,-0.67980751,-0.78420398,-0.373259053,-0.068627451,-0.050869573,0.228792904,-0.054511206
60475,2013,43138,120300,854,0.679697867,36.6,0.861396097,0.316687345,-0.418037099,-0.654508903,-0.109489051,-0.138823529,-0.233068227,0.109269184,-0.055928776
60070,2013,61188,269700,948,0.783773609,36.9,0.922131632,0.226744186,-0.310984742,-0.335550628,-0.462585034,0.121580547,0.000724386,0.179961481,0.000646492
60008,2013,59172,231600,1137,0.703524348,36.2,0.911073143,0.241217187,-0.218180617,-0.433602348,-0.029863481,0.190789474,-0.167711739,0.196864517,-0.042023857
